time,LONGEST_LAT_CACHE.MISS,L2_RQSTS.MISS,RESOURCE_STALLS.ANY,FP_ARITH_INST_RETIRED.SCALAR_DOUBLE,FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE,FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE,ARITH.DIVIDER_ACTIVE
0.016484373,46727,400401,34279191,20039503,0,0,0
0.015347455,247416,32754378,20035491,0,0,0,0
0.014934508,33529436,20000264,0,0,0,0,0
0.01474564,20032371,3,0,37080,0,0,0
0.014680446,0,6,29364,9616,0,0,0
0.014558562,0,36457,24682,247942,0,0,0
0.014606749,27925,44093,285548,33093943,0,0,0
0.014487897,18579,162287,31679229,20000037,0,0,0
0.014892283,310391,33856265,20026646,0,0,0,0
0.014744632,32766035,20000025,3,0,0,0,0
0.01576243,20026987,5,0,50767,0,0,0
0.014639814,0,0,11066,1417,0,0,0
0.18283291,0,70174907,71419,1516505,0,0,0
0.172564904,70095863,111397,1734900,312496875,0,0,0
0.014489749,17045,240918,33127850,20006862,0,0,0
0.014627376,204266,31820091,20026556,0,0,0,0
0.014689381,34034190,20000194,45,0,0,0,0
0.014643782,20026789,0,0,34368,0,0,0
0.014711618,0,0,10313,1486,0,0,0
0.014550316,0,43130,15992,295388,0,0,0
0.014646903,29563,143463,472519,33970933,0,0,0
0.014491909,16708,147558,32703208,20000099,0,0,0
0.014491261,205524,31887834,20026574,3,0,0,0
0.171667102,322554153,30026773,17,0,0,0,0
0.014584882,20006937,3,0,32349,0,0,0
0.014721138,6,0,31361,26678,0,0,0
0.014623722,0,26624,12447,245205,0,0,0
0.01464665,42514,14318,283802,32583867,0,0,0
0.014560914,47444,244500,33186377,20000054,0,0,0
0.014616103,363440,33082394,20026660,0,0,0,0
0.014642637,32802345,20000024,3,0,0,0,0
0.014676912,20078614,0,0,32296,0,0,0
0.014711146,0,0,24641,5809,0,0,0
0.014563605,0,31280,11700,298251,0,0,0
0.014571895,32564,13896,230801,33085397,0,0,0
0.014524931,19882,283389,33193246,20000113,0,0,0
0.014566875,400589,33596007,20026699,78,0,0,0
0.014577826,33544645,20000093,0,0,0,0,0
0.014636116,20026752,0,0,34539,0,0,0
0.171759409,38,0,70135237,175283,0,0,0
0.014752172,0,32070,31943,344747,0,0,0
0.014557299,43483,16838,274348,33497615,0,0,0
0.014730981,9166,174715,32765587,20000037,0,0,0
0.172102063,9595476,465654742,30037735,4797,0,0,0
0.01448881,33129185,20006868,9,6,0,0,0
0.171637311,30027151,61,0,70105891,0,0,0
0.014670073,0,0,33708,38755,0,0,0
0.014636453,0,50781,32674,452940,0,0,0
0.014546292,16164,10693,144284,31754583,0,0,0
0.014616416,17840,335524,33414603,20027015,0,0,0
0.014831172,118843,33581583,20000025,3,0,0,0
0.014508015,33724549,20026646,0,0,0,0,0
0.013395517,20000017,0,0,9963,0,0,0
0.011502987,0,0,26906,7127,0,0,0
0.012040984,0,28369,11608,242345,0,0,0
0.146722468,70097267,38852,1613170,322123326,0,0,0
0.01326944,738344,2059066,65823634,20009866,0,0,0
0.014499197,1917854,66439558,20029289,1229,0,0,0
0.014499831,67420836,20002635,1130,0,0,0,0
0.014527936,20028189,586,0,723017,0,0,0
0.168593783,162,0,70098779,1555765,0,0,0
0.012650107,0,34821,37146,397448,0,0,0
0.012364164,24909,26585,194116,32684078,0,0,0
0.012446594,21426,280933,33146113,20000128,0,0,0
0.012714047,184718,33703960,20026554,4,0,0,0
0.012569006,32749200,20000114,0,0,0,0,0
0.146799973,30030130,17,0,70102116,0,0,0
0.012559643,3,4,33513,14788,0,0,0
0.012643707,0,22096,5743,161638,0,0,0
0.01241899,31708,11183,298413,31922001,0,0,0
0.012592331,4394,161986,33587994,20027008,0,0,0
0.012542618,136433,31796729,20000044,3,0,0,0
0.012415908,33401464,20000027,0,0,0,0,0
0.012475643,20000112,0,0,34284,0,0,0
0.012091455,45,0,11436,24583,0,0,0
0.012417985,0,44406,12734,365302,0,0,0
0.012601322,11163,8784,121246,31740898,0,0,0
0.012384696,12290,388187,33185833,20027161,0,0,0
0.154610037,5713641,428973279,30037750,4768,0,0,0
0.014485673,33830256,20006929,0,0,0,0,0
0.014621762,20026847,0,0,30584,0,0,0
0.01448708,3,0,26286,27531,0,0,0
0.014788671,0,33165,11763,239821,0,0,0
0.014617857,29885,42379,310250,34088240,0,0,0
0.014562345,21181,382458,33555104,20027181,0,0,0
0.014813403,142665,33456022,20000447,0,0,0,0
0.014590419,33060135,20000112,0,0,0,0,0
0.014634415,20026875,3,0,24667,0,0,0
0.014625137,3,4,32628,15530,0,0,0
0.014519251,0,33010,57094,301772,0,0,0
0.014602253,26561,14676,276393,33486408,0,0,0
0.014808827,10635,226615,32668142,20026963,0,0,0
0.014633543,239170,33312829,20000092,0,0,0,0
0.014600441,33122900,20026577,3,0,0,0,0
0.014582784,20000093,0,0,29399,0,0,0
0.014512189,0,0,47830,14583,0,0,0
0.014728115,0,23835,26555,227342,0,0,0
0.014712074,31983,8060,287098,32876608,0,0,0
0.014492769,12724,213305,32355877,20026943,0,0,0
0.014542556,281579,32950685,20000120,3,0,0,0
